JusticeMatters 1003107003693137921.hashtags 545.000  .001 6 11 6 3928
JusticeMatters 1003107003693137921.hashtags 545.000  .001 6 11 6 3928
JusticeMatters 1003107003693137921.hashtags 545.000  .001 6 11 6 3928
JusticeMatters 1003107003693137921.hashtags 545.000  .001 6 11 6 3928
JusticeMatters 1003107003693137921.hashtags 545.000  .001 6 11 6 3928
JusticeMatters 1003107003693137921.hashtags 545.000  .001 6 11 6 3928
Russian 1005846500583321601.hashtags 2.439  .041 1 10 164 3928
Moscow 1005846500583321601.hashtags 20.000  .005 1 10 20 3928
IStandWithUkraine 1005846500583321601.hashtags 25.000  .004 1 10 17 3928
SlavaUkraini 1005846500583321601.hashtags 25.000  .004 1 10 17 3928
antisemitism 1005846500583321601.hashtags 33.333  .003 1 10 12 3928
StandWithUkraine 1020602380096696320.hashtags 8.263  .019 3 19 78 3928
PutinWarCriminal 1020602380096696320.hashtags 105.000  .001 2 19 4 3928
StandWithUkraine 1020602380096696320.hashtags 8.263  .019 3 19 78 3928
PutinWarCriminal 1020602380096696320.hashtags 105.000  .001 2 19 4 3928
StandWithUkraine 1020602380096696320.hashtags 8.263  .019 3 19 78 3928
Australia 1031000589054828544.hashtags 4.700  .010 1 21 43 3928
VoteThemOut 1031000589054828544.hashtags 47.000  .001 1 21 4 3928
LNPDisgrace 1031000589054828544.hashtags 23.500  .002 1 21 10 3928
AlboForPM 1031000589054828544.hashtags 4.272  .011 1 21 45 3928
auspol 1031000589054828544.hashtags 1.093  .043 1 21 172 3928
ausvotes 1031000589054828544.hashtags 9.400  .005 1 21 23 3928
TheProjectTV 1031000589054828544.hashtags 47.000  .001 1 21 4 3928
LNPCorruptionParty 1031000589054828544.hashtags 11.750  .004 1 21 18 3928
Albo 1031000589054828544.hashtags 5.937  .016 2 21 63 3928
CovidIsNotOver 105433445.hashtags 7.750  .008 1 16 34 3928
COVIDisAirborne 105433445.hashtags 7.750  .008 1 16 33 3928
MaskUp 105433445.hashtags 31.000  .002 1 16 11 3928
IStandWithUkraine 105433445.hashtags 15.500  .004 1 16 17 3928
PutinIsaWarCriminal 105433445.hashtags 62.000  .001 1 16 4 3928
Ontario 105433445.hashtags 15.500  .004 1 16 17 3928
Gold 1060751816.hashtags 50.000  .001 1 20 4 3928
Russia 1060751816.hashtags .555  .090 1 20 356 3928
Olympics 1060751816.hashtags 100.000  .001 2 20 5 3928
Canada 1060751816.hashtags 16.666  .009 3 20 37 3928
ToriesOut 1073606435580325889.hashtags 55.500  .002 1 9 10 3928
JohnsonOut 1073606435580325889.hashtags 11.684  .019 2 9 75 3928
private 1073606435580325889.hashtags 74.000  .003 2 9 12 3928
private 1073606435580325889.hashtags 74.000  .003 2 9 12 3928
bank 1073606435580325889.hashtags 37.000  .003 1 9 15 3928
funds 1073606435580325889.hashtags 111.000  .001 1 9 7 3928
irs 1074480192.hashtags 9.466  .015 1 7 59 3928
ClimateCrisis 1074480192.hashtags 142.500  .002 2 7 11 3928
ClimateCrisis 1074480192.hashtags 142.500  .002 2 7 11 3928
MAGA 1074480192.hashtags 71.000  .002 1 7 9 3928
VotingRightsAct 1080844782.hashtags 71.000  .001 1 14 5 3928
VotingRights 1080844782.hashtags 95.000  .003 4 14 14 3928
pandemic 1094971056358637568.hashtags 3.636  .011 2 49 46 3928
ZeroCovid 1094971056358637568.hashtags 40.500  .002 4 49 8 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
Omicron 1094971056358637568.hashtags 3.210  .019 3 49 77 3928
LongCovid 1094971056358637568.hashtags .500  .040 1 49 158 3928
Omicron 1094971056358637568.hashtags 3.210  .019 3 49 77 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
Covid_19 1094971056358637568.hashtags 40.000  .001 2 49 6 3928
NYTimes 1094971056358637568.hashtags 102.000  .001 5 49 5 3928
ZeroCovid 1094971056358637568.hashtags 40.500  .002 4 49 8 3928
ZeroCovid 1094971056358637568.hashtags 40.500  .002 4 49 8 3928
NYTimes 1094971056358637568.hashtags 102.000  .001 5 49 5 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
NYTimes 1094971056358637568.hashtags 102.000  .001 5 49 5 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
pandemic 1094971056358637568.hashtags 3.636  .011 2 49 46 3928
Covid19 1094971056358637568.hashtags 2.857  .007 1 49 30 3928
MeToo 1094971056358637568.hashtags 40.000  .001 2 49 4 3928
NoWarWithRussia 1094971056358637568.hashtags 10.000  .002 1 49 9 3928
NoWar 1094971056358637568.hashtags 10.000  .004 2 49 16 3928
COVID19 1094971056358637568.hashtags 3.588  .051 9 49 204 3928
Putin 1094971056358637568.hashtags .555  .036 1 49 145 3928
Pandemic 1094971056358637568.hashtags 20.000  .001 1 49 4 3928
Covid_19 1094971056358637568.hashtags 40.000  .001 2 49 6 3928
MeToo 1094971056358637568.hashtags 40.000  .001 2 49 4 3928
Ukraine 1094971056358637568.hashtags 1.020  .100 5 49 396 3928
NATO 1094971056358637568.hashtags 2.222  .009 1 49 37 3928
